image,pred_cg3,pred_diffmap,pred_llgc,pred_final,conf_final
image_134_label_automobile.png,automobile,automobile,automobile,automobile,0.7839
image_135_label_ship.png,ship,ship,truck,ship,0.4620
image_136_label_automobile.png,automobile,automobile,automobile,automobile,0.7863
image_137_label_automobile.png,automobile,automobile,automobile,automobile,0.7866
image_138_label_bird.png,bird,bird,bird,bird,0.7708
image_139_label_ship.png,ship,ship,ship,ship,0.4839
image_140_label_automobile.png,automobile,automobile,automobile,automobile,0.7781
image_141_label_cat.png,cat,cat,cat,cat,0.7065
image_142_label_cat.png,cat,cat,cat,cat,0.6465
image_143_label_frog.png,bird,frog,frog,frog,0.5252
image_144_label_bird.png,bird,bird,bird,bird,0.6567
image_145_label_deer.png,deer,deer,deer,deer,0.7156
image_146_label_truck.png,automobile,automobile,automobile,automobile,0.6722
image_147_label_truck.png,truck,truck,truck,truck,0.7163
image_148_label_dog.png,dog,dog,cat,dog,0.6385
image_149_label_deer.png,deer,deer,horse,deer,0.7583
image_150_label_cat.png,cat,cat,cat,cat,0.6643
image_151_label_frog.png,cat,frog,cat,frog,0.3875
image_152_label_horse.png,horse,horse,horse,horse,0.8315
image_153_label_deer.png,deer,deer,deer,deer,0.7419
image_154_label_frog.png,frog,frog,cat,frog,0.5156
image_155_label_ship.png,ship,ship,truck,ship,0.3914
image_156_label_dog.png,dog,dog,cat,dog,0.6711
image_157_label_dog.png,dog,cat,cat,cat,0.5582
image_158_label_deer.png,deer,deer,deer,deer,0.7612
image_159_label_cat.png,frog,bird,cat,bird,0.4078
image_160_label_automobile.png,automobile,automobile,automobile,automobile,0.7825
image_161_label_ship.png,ship,ship,truck,ship,0.4463
image_162_label_deer.png,deer,deer,deer,deer,0.6227
image_163_label_horse.png,horse,horse,horse,horse,0.8314
image_164_label_frog.png,frog,frog,cat,frog,0.5514
image_165_label_airplane.png,airplane,airplane,automobile,airplane,0.5987
image_166_label_truck.png,truck,truck,automobile,truck,0.5220
image_167_label_dog.png,dog,dog,dog,dog,0.6913
image_168_label_automobile.png,automobile,automobile,automobile,automobile,0.7743
image_169_label_cat.png,dog,cat,cat,cat,0.6516
image_170_label_ship.png,ship,ship,truck,ship,0.4527
image_171_label_bird.png,truck,bird,cat,bird,0.1844
image_172_label_horse.png,horse,horse,horse,horse,0.8331
image_173_label_dog.png,cat,dog,cat,dog,0.4480
image_174_label_cat.png,cat,frog,cat,frog,0.3914
image_175_label_deer.png,deer,deer,deer,deer,0.7664
image_176_label_automobile.png,automobile,automobile,automobile,automobile,0.7850
image_177_label_dog.png,dog,dog,dog,dog,0.7002
image_178_label_horse.png,horse,horse,horse,horse,0.8144
image_179_label_airplane.png,bird,airplane,frog,airplane,0.4836
image_180_label_deer.png,deer,deer,deer,deer,0.7146
image_181_label_horse.png,horse,horse,horse,horse,0.8318
image_182_label_dog.png,dog,dog,cat,dog,0.6675
image_183_label_dog.png,dog,dog,dog,dog,0.6761
image_184_label_automobile.png,automobile,automobile,automobile,automobile,0.7869
image_185_label_airplane.png,ship,airplane,truck,airplane,0.5172
image_186_label_truck.png,truck,truck,truck,truck,0.7052
image_187_label_frog.png,frog,frog,frog,frog,0.5896
image_188_label_truck.png,truck,truck,truck,truck,0.7208
image_189_label_airplane.png,ship,truck,truck,truck,0.4107
image_190_label_ship.png,ship,ship,truck,ship,0.4461
image_191_label_horse.png,deer,truck,deer,truck,0.1658
image_192_label_ship.png,ship,ship,truck,ship,0.4123
image_193_label_ship.png,ship,ship,truck,ship,0.4829
image_194_label_bird.png,bird,bird,bird,bird,0.5505
image_195_label_dog.png,dog,dog,dog,dog,0.6800
image_196_label_bird.png,bird,frog,frog,frog,0.4497
image_197_label_cat.png,cat,cat,cat,cat,0.6606
image_198_label_dog.png,dog,dog,cat,dog,0.6639
image_199_label_airplane.png,ship,airplane,automobile,airplane,0.4995
image_99_label_automobile.png,automobile,automobile,automobile,automobile,0.7849
